id,airline_name_ko,airline_name_en,iata_code
625,카나트 샤크 항공,Qanot Sharq Airlines,HH
626,카리브 항공,Caribbean Airlines,BW
627,카메룬 항공,Camair-Co,QC
628,카멕스항공,CAMEX Airlines,Z7
629,카자흐 항공,Qazaq Air,IQ
630,카타르 항공,Qatar Airways,QR
631,카페베르데 항공,Cabo Verde Airlines,VR
632,칼리타 에어,Kalitta Air,K4
633,칼리타 차터,Kalitta Charters,K9
634,캄 에어,Calm Air,MO
635,캄보디아 앙코르 항공,Cambodia Angkor Air,K6
636,캄보디아 항공,Cambodia Airways,KR
637,캐나다 북부 항공,Canadian North,5T
638,캐나다 제트라인,Canada Jetlines,AU
639,캐세이퍼시픽 항공,Cathay Pacific,CX
640,컨투어 항공,Contour Airlines,LF
641,케냐 항공,Kenya Airways,KQ
642,케심 항공,Qeshm Air,QB
643,케이맨 항공,Cayman Airways,KX
644,케이프 항공,Cape Air,9K
645,켄모어 에어,Kenmore Air,M5
646,켄보렉 에어,Kenn Borek Air,4K
647,코렌돈 네덜란드 항공,Corendon Dutch Airlines,CD
648,코렌돈 항공,Corendon Airlines,XC
649,코렌돈 항공 유럽,Corendon Airlines Europe,XR
650,코르스에어,Corsair,SS
651,코미 아비아트랜스,Komiaviatrans,KO
652,코스타리카 그린 항공,Costa Rica Green Airways,GW
653,코파 항공,Copa Airlines,CM
654,코파 항공 콜롬비아,Copa Airlines Colombia,P5
655,코퍼레이트 에어 오스트레일리아,Corporate Air Australia,FC
656,콘도르 플루그디엔스트,Condor Flugdienst,DE
657,콘비아사,Conviasa,V0
658,콩고 항공,Congo Airways,8Z
659,콴타스 항공,Qantas Airways,QF
660,쿠바 항공,Cubana de Aviacion,CU
661,쿠웨이트 항공,Kuwait Airways,KU
662,쿤밍 항공,Kunming Airlines,KY
663,퀵젯 항공,Quikjet Airlines,QO
664,퀸 빌키스 항공,Queen Bilqis Airways,QA
665,크라스아비아,KrasAvia,KV
666,크로노스 항공,Cronos Airlines,C8
667,크로아티아 항공,Croatia Airlines,OU
668,클릭 에어,Clic air,VE
669,키라임 에어,Key Lime Air,KG
670,타나나 에어서비스,Tanana Air Service,Z3
671,타라 항공,Tara Air,TB
672,타르코 항공,Tarco Aviation,3T
673,타실리 항공,Tassili Airlines,SF
674,타이 라이온 에어,Thai Lion Air,SL
675,타이 비엣젯 항공,Thai VietJet Air,VZ
676,타이 에어아시아,Thai AirAsia,FD
677,타이 에어아시아 X,Thai AirAsia X,XJ
678,타이 항공,Thai Airways,TG
679,타이거에어 타이완,Tigerair Taiwan,IT
680,타이탄 항공,Titan Airways,ZT
681,타이탄 항공 몰타,Titan Airways Malta,TM
682,타즈만 카고 항공,Tasman Cargo Airlines,HJ
683,타취안 항공,Taquan Air,K3
684,테일윈드 항공,Tailwind Airlines,TI
685,테일윈드 항공 서비스,Tailwind Air Service,TQ
686,투르피알 항공,Turpial Airlines,T9
687,투스 항공,Tus Airways,U8
688,튀니지 항공,Tunisair,TU
689,튀니지 항공 익스프레스,Tunisair Express,UG
690,트랜스 몰디비안 항공,Trans Maldivian Airways,M8
691,트랜스글로벌항공,TransGlobal Airways,T7
692,트랜스누사 항공 서비스,TransNusa Air Services,8B
693,트랜스아비아,Transavia,HV
694,트랜스아비아 프랑스,Transavia France,TO
695,트랜스에어 세네갈,Transair Senegal,R2
696,트레이드 항공,Trade Air,C3
697,트레이드윈드 항공,Tradewind Aviation,TJ
698,트로픽 항공,Tropic Air,9N
699,트리가나 에어,Trigana Air,IL
700,트빌리시 항공,Tbilisi Airlines,TD
701,트윈 제트,Twin Jet,T7
702,파노라마 항공,Panorama Airways,5P
703,파라네어,Paranair,ZP
704,파스칸 항공,Pascan Aviation,P6
705,파키스탄 국제항공,Pakistan International Airlines,PK
706,패션에어,PassionAir,OP
707,팬퍼시픽 항공,Pan Pacific Airlines,8Y
708,퍼블릭차터닷컴,PublicCharters.com,P1
709,퍼시픽 코스탈 항공,Pacific Coastal Airlines,8P
710,페가수스 항공,Pegasus Airlines,PC
711,페덱스,FedEx,FX
712,페스트젯 짐바브웨,fastjet Zimbabwe,FN
713,페트롤리움 에어 서비스,Petroleum Air Services,UF
714,포베다 항공,Pobeda,DP
715,포터 항공,Porter Airlines,PD
716,포튜갈리아 항공,Portugalia,NI
717,폴라 에어 카고,Polar Air Cargo,PO
718,푸마 항공,Puma Air Linhas Aereas,Z4
719,푸저우 항공,Fuzhou Airlines,FU
720,프라단 에어 익스프레스,Pradhaan Air Express,6P
721,프렌치 비,French Bee,BF
722,프론티어 항공,Frontier Airlines,F9
723,프리덤 II,Freedom II,FA
724,프리덤 항공,Freedom Airline,4F
725,프리미어 트랜스 에어,Premier Trans Aire,3X
726,프리버드 유럽,Freebird Europe,MI
727,프리버드 항공,Freebird Airlines,FH
728,프리빌리지스타일,Privilege Style,P6
729,프리시즌 항공서비스,Precision Air Services,PW
730,플라이 GTA 항공,flyGTA Airlines,SX
731,플라이 나미비아,FlyNamibia,WV
732,플라이 나스,flynas,XY
733,플라이 몬세라트,FlyMontserrat,5M
734,플라이 빅,flybig,S9
735,플라이 아르나,Fly Arna,G6
736,플라이 올웨이즈,Fly AllWays,8W
737,플라이 요르단,Fly Jordan,F0
738,플라이 원,FLYONE,5F
739,플라이 진나,Fly Jinnah,9P
740,플라이 펠리칸,FlyPelican,FP
741,플라이두바이,flydubai,FZ
742,플라이본디,Flybondi,FO
743,플라이어딜,flyadeal,F3
744,플라이원 아르메니아,FLYONE Armenia,3F
745,플라이투스카이,Fly2Sky,F6
746,플라이트 링크,Flightlink,YS
747,플라이히바,Fly Khiva,D3
748,플러스 울트라 항공,Plus Ultra Airlines,PU
749,플레이 항공,PLAY,OG
750,플렉스플라이트,FlexFlight,W2
751,피드 몬트 항공,Piedmont Airlines,PT
752,피지 항공,Fiji Airways,FJ
753,피치 항공,Peach,MM
754,핀 에어,Finnair,AY
755,필리핀 그랜드캐년 헬리콥터,Papillon Grand Canyon Helicopters,HI
756,필리핀 에어아시아,Philippines AirAsia,Z2
757,필리핀 항공,Philippine Airlines,PR
758,하와이안 항공,Hawaiian Airlines,HA
759,하이 플라이,Hi Fly,5K
760,하이 플라이 몰타,Hi Fly Malta,3L
761,하이난 항공,Hainan Airlines,HU
762,하이버니언 항공,Hibernian Airlines,HG
763,하이스카이 루마니아,HiSky Romania,H4
764,하이스카이 몰도바,HiSky Moldova,H7
765,한에어라인,Hahn AirLines,HR
766,허베이 항공,Hebei Airlines,NS
767,헤스톤 항공,Heston Airlines,HN
768,헬로젯,HelloJets,H3
769,헬리제트 인터내셔널,Helijet International,JB
770,헬베틱 항공,Helvetic Airways,2L
771,홀리데이 유럽,Holiday Europe,5Q
772,홀리데이 항공,Holiday Airlines,HD
773,홍콩 익스프레스,HK Express,UO
774,홍콩 항공,Hong Kong Airlines,HX
775,홍해 항공,Red Sea Airlines,RS
776,후지드림 항공,Fuji Dream Airlines,JH
777,훈누 항공,Hunnu Air,MR
778,휴모 항공,Humo Air,HJ
779,히말라야 항공,Himalaya Airlines,H9
780,힌터렌드 항공,Hinterland Aviation,OI
